run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model,resolved_model
0,2026-09-18T19:51:51.868Z,llm-local,dunning,account-closed,switch_method_then_retry,,,0.760,39146,5,4755,916,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T19:52:21.071Z,llm-local,dunning,mandate-revoked-no-alt,needs_human,,,0.736,29203,5,5000,856,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T19:52:50.631Z,llm-local,dunning,mandate-revoked,switch_method_then_retry,,,0.900,29560,5,4940,863,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T19:53:20.697Z,llm-local,dunning,nsf-repeat,switch_method_then_retry,,,0.577,30066,5,4835,879,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T19:53:52.923Z,llm-local,dunning,nsf-transient,retry_in_3d,,,0.564,32226,5,4695,933,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T19:54:24.505Z,llm-local,dunning,processor-outage,retry_next_schedule,,,0.692,31582,5,4815,948,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:54:50.254Z,llm-local,dunning,account-closed,switch_method_then_retry,,,0.812,25748,5,4755,863,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:55:15.897Z,llm-local,dunning,mandate-revoked-no-alt,needs_human,,,0.790,25643,5,5000,863,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:55:43.425Z,llm-local,dunning,mandate-revoked,switch_method_then_retry,,,0.877,27528,5,4940,917,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:56:06.723Z,llm-local,dunning,nsf-repeat,switch_method_then_retry,,,0.578,23298,5,4835,704,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:56:35.170Z,llm-local,dunning,nsf-transient,retry_in_3d,,,0.540,28447,5,4695,929,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T19:57:05.340Z,llm-local,dunning,processor-outage,retry_next_schedule,,,0.626,30170,5,4815,998,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T19:57:33.988Z,llm-local,dunning,account-closed,switch_method_then_retry,,,0.645,28648,5,4755,929,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T19:58:02.689Z,llm-local,dunning,mandate-revoked-no-alt,needs_human,,,0.768,28701,5,5000,930,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T19:58:31.169Z,llm-local,dunning,mandate-revoked,switch_method_then_retry,,,0.893,28480,5,4940,920,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T19:58:56.999Z,llm-local,dunning,nsf-repeat,switch_method_then_retry,,,0.597,25830,5,4835,815,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
