run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model
0,2026-09-18T09:36:04.082Z,llm,triage,ambiguous-failure,needs_human,,,0.452,115187,5,3710,15583,glm-5.3-flash:cloud
0,2026-09-18T09:37:22.130Z,llm,triage,bad-test,needs_human,,,0.230,78048,5,4095,13799,glm-5.3-flash:cloud
0,2026-09-18T09:39:37.154Z,llm,triage,environment-drift,needs_human,,,0.300,135024,5,3705,11169,glm-5.3-flash:cloud
0,2026-09-18T09:40:25.647Z,llm,triage,error-contract-regression,needs_human,,,0.316,48493,5,3945,12002,glm-5.3-flash:cloud
0,2026-09-18T09:41:26.264Z,llm,triage,infra-outage,needs_human,,,0.477,60617,5,3710,14694,glm-5.3-flash:cloud
0,2026-09-18T09:43:40.721Z,llm,triage,known-flake,needs_human,,,0.179,134457,5,4325,16384,glm-5.3-flash:cloud
1,2026-09-18T09:44:48.487Z,llm,triage,ambiguous-failure,needs_human,,,0.470,67764,5,3710,13760,glm-5.3-flash:cloud
1,2026-09-18T09:46:09.704Z,llm,triage,bad-test,needs_human,,,0.219,81217,5,4095,14470,glm-5.3-flash:cloud
1,2026-09-18T09:47:45.453Z,llm,triage,environment-drift,needs_human,,,0.312,95748,5,3705,14918,glm-5.3-flash:cloud
1,2026-09-18T09:49:11.452Z,llm,triage,error-contract-regression,needs_human,,,0.329,85998,5,3945,9199,glm-5.3-flash:cloud
1,2026-09-18T09:49:59.448Z,llm,triage,infra-outage,needs_human,,,0.453,47996,5,3710,11321,glm-5.3-flash:cloud
1,2026-09-18T09:52:09.604Z,llm,triage,known-flake,needs_human,,,0.201,130155,5,4325,25749,glm-5.3-flash:cloud
2,2026-09-18T09:53:31.830Z,llm,triage,ambiguous-failure,needs_human,,,0.534,82224,5,3710,12791,glm-5.3-flash:cloud
2,2026-09-18T09:54:27.492Z,llm,triage,bad-test,needs_human,,,0.282,55662,5,4095,13888,glm-5.3-flash:cloud
2,2026-09-18T09:55:56.041Z,llm,triage,environment-drift,needs_human,,,0.237,88549,5,3705,16906,glm-5.3-flash:cloud
2,2026-09-18T09:57:02.808Z,llm,triage,error-contract-regression,needs_human,,,0.380,66767,5,3945,10566,glm-5.3-flash:cloud
2,2026-09-18T09:58:06.253Z,llm,triage,infra-outage,needs_human,,,0.451,63445,5,3710,8823,glm-5.3-flash:cloud
2,2026-09-18T09:59:56.818Z,llm,triage,known-flake,needs_human,,,0.129,110565,5,4325,15123,glm-5.3-flash:cloud
0,2026-09-18T10:01:16.234Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.145,79413,10,8215,16911,glm-5.3-flash:cloud
0,2026-09-18T10:03:19.989Z,llm,checkout,bopis-edge,review,bureau_call,true,0.120,123754,10,8255,20443,glm-5.3-flash:cloud
0,2026-09-18T10:06:05.828Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.172,165838,10,8285,23378,glm-5.3-flash:cloud
0,2026-09-18T10:06:34.560Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.679,28732,5,3785,4348,glm-5.3-flash:cloud
0,2026-09-18T10:08:04.954Z,llm,checkout,stolen-card-pattern,review,bureau_call,true,0.347,90393,9,7573,12638,glm-5.3-flash:cloud
0,2026-09-18T10:09:36.356Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.166,91401,10,8240,14169,glm-5.3-flash:cloud
1,2026-09-18T10:11:22.635Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.166,106278,10,8210,17114,glm-5.3-flash:cloud
1,2026-09-18T10:13:02.899Z,llm,checkout,bopis-edge,review,bureau_call,true,0.133,100261,10,8250,17642,glm-5.3-flash:cloud
1,2026-09-18T10:15:53.476Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.174,170577,10,8300,27285,glm-5.3-flash:cloud
1,2026-09-18T10:16:16.064Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.755,22588,5,3785,5186,glm-5.3-flash:cloud
1,2026-09-18T10:17:42.366Z,llm,checkout,stolen-card-pattern,review,bureau_call,true,0.399,86300,10,8510,16034,glm-5.3-flash:cloud
1,2026-09-18T10:18:55.526Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.154,73160,10,8240,15731,glm-5.3-flash:cloud
2,2026-09-18T10:21:37.912Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.166,162385,10,8215,15546,glm-5.3-flash:cloud
2,2026-09-18T10:23:24.220Z,llm,checkout,bopis-edge,review,bureau_call,true,0.138,106307,10,8250,21055,glm-5.3-flash:cloud
2,2026-09-18T10:27:27.265Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.158,243045,10,8280,18643,glm-5.3-flash:cloud
2,2026-09-18T10:27:48.807Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.728,21540,5,3785,4696,glm-5.3-flash:cloud
2,2026-09-18T10:29:30.921Z,llm,checkout,stolen-card-pattern,review,bureau_call,true,0.312,102113,10,8545,16682,glm-5.3-flash:cloud
2,2026-09-18T10:30:46.483Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.137,75560,10,8250,17060,glm-5.3-flash:cloud
