run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model
0,2026-09-18T07:31:26.991Z,llm,triage,ambiguous-failure,needs_human,,,0.445,77354,5,3710,17264,glm-5.3-flash:cloud
0,2026-09-18T07:32:24.992Z,llm,triage,bad-test,needs_human,,,0.145,58001,5,3700,13910,glm-5.3-flash:cloud
0,2026-09-18T07:33:03.970Z,llm,triage,environment-drift,needs_human,,,0.329,38978,5,3705,10113,glm-5.3-flash:cloud
0,2026-09-18T07:33:41.924Z,llm,triage,error-contract-regression,needs_human,,,0.443,37954,5,3945,8360,glm-5.3-flash:cloud
0,2026-09-18T07:35:07.365Z,llm,triage,infra-outage,needs_human,,,0.465,85441,5,3710,11442,glm-5.3-flash:cloud
0,2026-09-18T07:37:17.701Z,llm,triage,known-flake,needs_human,,,0.112,130335,5,3830,16576,glm-5.3-flash:cloud
1,2026-09-18T07:38:21.907Z,llm,triage,ambiguous-failure,needs_human,,,0.498,64205,5,3710,16716,glm-5.3-flash:cloud
1,2026-09-18T07:39:07.917Z,llm,triage,bad-test,needs_human,,,0.134,46010,5,3700,10847,glm-5.3-flash:cloud
1,2026-09-18T07:40:00.376Z,llm,triage,environment-drift,needs_human,,,0.347,52459,5,3705,11522,glm-5.3-flash:cloud
1,2026-09-18T07:41:17.219Z,llm,triage,error-contract-regression,needs_human,,,0.392,76843,4,3156,5195,glm-5.3-flash:cloud
1,2026-09-18T07:42:01.259Z,llm,triage,infra-outage,restart_infra,,,0.552,44040,5,3710,10953,glm-5.3-flash:cloud
1,2026-09-18T07:44:15.121Z,llm,triage,known-flake,needs_human,,,0.075,133861,5,3830,19269,glm-5.3-flash:cloud
2,2026-09-18T07:45:36.566Z,llm,triage,ambiguous-failure,needs_human,,,0.475,81444,5,3710,13452,glm-5.3-flash:cloud
2,2026-09-18T07:46:44.017Z,llm,triage,bad-test,needs_human,,,0.179,67451,5,3700,12307,glm-5.3-flash:cloud
2,2026-09-18T07:47:36.924Z,llm,triage,environment-drift,needs_human,,,0.363,52907,5,3705,16290,glm-5.3-flash:cloud
2,2026-09-18T07:48:05.165Z,llm,triage,error-contract-regression,needs_human,,,0.448,28241,5,3945,6543,glm-5.3-flash:cloud
2,2026-09-18T07:49:05.939Z,llm,triage,infra-outage,restart_infra,,,0.500,60773,5,3710,14718,glm-5.3-flash:cloud
2,2026-09-18T07:50:10.911Z,llm,triage,known-flake,needs_human,,,0.095,64972,5,3830,17156,glm-5.3-flash:cloud
0,2026-09-18T07:51:53.415Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.115,102499,8,6359,12567,glm-5.3-flash:cloud
0,2026-09-18T07:54:31.645Z,llm,checkout,bopis-edge,review,bureau_call,true,0.124,158229,9,7325,21172,glm-5.3-flash:cloud
0,2026-09-18T07:56:40.997Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.164,129351,10,8295,22866,glm-5.3-flash:cloud
0,2026-09-18T07:57:24.869Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.748,43872,5,3785,5486,glm-5.3-flash:cloud
0,2026-09-18T07:57:51.609Z,llm,checkout,stolen-card-pattern,decline,decline_fast_path,false,0.700,26740,5,3765,5797,glm-5.3-flash:cloud
0,2026-09-18T07:59:36.148Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.189,104537,9,7329,15141,glm-5.3-flash:cloud
1,2026-09-18T08:01:38.157Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.149,122008,9,7293,13985,glm-5.3-flash:cloud
1,2026-09-18T08:03:44.233Z,llm,checkout,bopis-edge,review,bureau_call,true,0.129,126074,10,8250,19150,glm-5.3-flash:cloud
1,2026-09-18T08:06:40.664Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.142,176430,10,8295,26379,glm-5.3-flash:cloud
1,2026-09-18T08:07:02.133Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.753,21469,5,3785,5006,glm-5.3-flash:cloud
1,2026-09-18T08:07:40.733Z,llm,checkout,stolen-card-pattern,decline,decline_fast_path,false,0.671,38599,5,3765,6543,glm-5.3-flash:cloud
1,2026-09-18T08:10:36.909Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.174,176175,10,8230,16520,glm-5.3-flash:cloud
2,2026-09-18T08:14:03.462Z,llm,checkout,ambiguous-checkout,review,bureau_call,true,0.148,206551,9,7297,15802,glm-5.3-flash:cloud
2,2026-09-18T08:16:29.536Z,llm,checkout,bopis-edge,review,bureau_call,true,0.134,146072,9,7321,19304,glm-5.3-flash:cloud
2,2026-09-18T08:21:12.819Z,llm,checkout,bureau-contradiction,review,bureau_call,true,0.091,283282,9,7364,29829,glm-5.3-flash:cloud
2,2026-09-18T08:21:36.924Z,llm,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.724,24105,5,3785,5613,glm-5.3-flash:cloud
2,2026-09-18T08:23:14.962Z,llm,checkout,stolen-card-pattern,review,bureau_call,true,0.337,98038,10,8505,16098,glm-5.3-flash:cloud
2,2026-09-18T08:25:15.783Z,llm,checkout,thin-file-new-customer,review,bureau_call,true,0.153,120819,8,6397,13073,glm-5.3-flash:cloud
