run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model,resolved_model
0,2026-09-19T04:38:22.241Z,mock,triage,ambiguous-failure,needs_human,,,0.240,89,1,554,135,mock,mock
0,2026-09-19T04:38:22.314Z,mock,triage,bad-test-v2,fix_test,,,0.660,73,1,614,133,mock,mock
0,2026-09-19T04:38:22.394Z,mock,triage,bad-test,fix_test,,,0.660,80,1,613,133,mock,mock
0,2026-09-19T04:38:22.489Z,mock,triage,environment-drift,requeue_environment,,,0.730,94,1,530,134,mock,mock
0,2026-09-19T04:38:22.585Z,mock,triage,error-contract-regression-v2,file_regression_p1,,,0.780,96,1,579,135,mock,mock
0,2026-09-19T04:38:22.681Z,mock,triage,error-contract-regression,file_regression_p1,,,0.780,96,1,579,135,mock,mock
0,2026-09-19T04:38:22.748Z,mock,triage,infra-outage,restart_infra,,,0.810,67,1,546,133,mock,mock
0,2026-09-19T04:38:22.826Z,mock,triage,known-flake-v2,auto_retry,,,0.620,78,1,613,133,mock,mock
0,2026-09-19T04:38:22.901Z,mock,triage,known-flake,auto_retry,,,0.620,74,1,613,133,mock,mock
1,2026-09-19T04:38:22.971Z,mock,triage,ambiguous-failure,needs_human,,,0.240,69,1,554,135,mock,mock
1,2026-09-19T04:38:23.045Z,mock,triage,bad-test-v2,fix_test,,,0.660,74,1,614,133,mock,mock
1,2026-09-19T04:38:23.129Z,mock,triage,bad-test,fix_test,,,0.660,84,1,613,133,mock,mock
1,2026-09-19T04:38:23.204Z,mock,triage,environment-drift,requeue_environment,,,0.730,75,1,530,134,mock,mock
1,2026-09-19T04:38:23.289Z,mock,triage,error-contract-regression-v2,file_regression_p1,,,0.780,85,1,579,135,mock,mock
1,2026-09-19T04:38:23.361Z,mock,triage,error-contract-regression,file_regression_p1,,,0.780,71,1,579,135,mock,mock
1,2026-09-19T04:38:23.440Z,mock,triage,infra-outage,restart_infra,,,0.810,79,1,546,133,mock,mock
1,2026-09-19T04:38:23.510Z,mock,triage,known-flake-v2,auto_retry,,,0.620,70,1,613,133,mock,mock
1,2026-09-19T04:38:23.606Z,mock,triage,known-flake,auto_retry,,,0.620,96,1,613,133,mock,mock
2,2026-09-19T04:38:23.705Z,mock,triage,ambiguous-failure,needs_human,,,0.240,99,1,554,135,mock,mock
2,2026-09-19T04:38:23.798Z,mock,triage,bad-test-v2,fix_test,,,0.660,93,1,614,133,mock,mock
2,2026-09-19T04:38:23.869Z,mock,triage,bad-test,fix_test,,,0.660,71,1,613,133,mock,mock
2,2026-09-19T04:38:23.940Z,mock,triage,environment-drift,requeue_environment,,,0.730,71,1,530,134,mock,mock
2,2026-09-19T04:38:24.012Z,mock,triage,error-contract-regression-v2,file_regression_p1,,,0.780,72,1,579,135,mock,mock
2,2026-09-19T04:38:24.099Z,mock,triage,error-contract-regression,file_regression_p1,,,0.780,87,1,579,135,mock,mock
