run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model,resolved_model
0,2026-09-19T04:43:46.981Z,mock,triage,ambiguous-failure,needs_human,,,0.240,89,1,554,135,mock,mock
0,2026-09-19T04:43:47.065Z,mock,triage,bad-test-v2,fix_test,,,0.660,84,1,793,133,mock,mock
0,2026-09-19T04:43:47.131Z,mock,triage,bad-test,fix_test,,,0.660,66,1,613,133,mock,mock
0,2026-09-19T04:43:47.213Z,mock,triage,environment-drift,requeue_environment,,,0.730,82,1,530,134,mock,mock
0,2026-09-19T04:43:47.280Z,mock,triage,error-contract-regression-v2,file_regression_p1,,,0.780,67,1,743,135,mock,mock
0,2026-09-19T04:43:47.377Z,mock,triage,error-contract-regression,file_regression_p1,,,0.780,97,1,579,135,mock,mock
0,2026-09-19T04:43:47.447Z,mock,triage,infra-outage,restart_infra,,,0.810,70,1,546,133,mock,mock
0,2026-09-19T04:43:47.523Z,mock,triage,known-flake-v2,auto_retry,,,0.620,76,1,734,133,mock,mock
0,2026-09-19T04:43:47.589Z,mock,triage,known-flake,auto_retry,,,0.620,66,1,613,133,mock,mock
1,2026-09-19T04:43:47.666Z,mock,triage,ambiguous-failure,needs_human,,,0.240,76,1,554,135,mock,mock
1,2026-09-19T04:43:47.727Z,mock,triage,bad-test-v2,fix_test,,,0.660,61,1,793,133,mock,mock
1,2026-09-19T04:43:47.806Z,mock,triage,bad-test,fix_test,,,0.660,78,1,613,133,mock,mock
1,2026-09-19T04:43:47.873Z,mock,triage,environment-drift,requeue_environment,,,0.730,67,1,530,134,mock,mock
1,2026-09-19T04:43:47.934Z,mock,triage,error-contract-regression-v2,file_regression_p1,,,0.780,61,1,743,135,mock,mock
1,2026-09-19T04:43:48.022Z,mock,triage,error-contract-regression,file_regression_p1,,,0.780,88,1,579,135,mock,mock
1,2026-09-19T04:43:48.097Z,mock,triage,infra-outage,restart_infra,,,0.810,75,1,546,133,mock,mock
1,2026-09-19T04:43:48.176Z,mock,triage,known-flake-v2,auto_retry,,,0.620,79,1,734,133,mock,mock
1,2026-09-19T04:43:48.274Z,mock,triage,known-flake,auto_retry,,,0.620,98,1,613,133,mock,mock
